Genus,Species,Common Name(s),Identified by,Oxy Fish Inventory?,SWAT Comprehensives?,Vouchered?,CABR LT,full,Zedler,ucsc,species_code,scientific_name,code_1990,name_1990,code_2000,name_2000,,mobility,type
Spirorbis,eximius,,,,,,,Spirorbis eximius,Spirorbis eximius,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Spirorbis,spirillum,,,,,,,Spirorbis spirillum,Spirorbis spirillum,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Spirorbis,spp,,SWAT 2002,,X,,,Spirorbis spp,Spirorbis spp,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Unidentified tube worm,spp,,,,,,,Unidentified tube worm spp,Unidentified tube worm spp,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Salmacina,tribranchiata,,,,,,,Salmacina tribranchiata,Salmacina tribranchiata,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Astrangia,lajollaensis,,,,,,,Astrangia lajollaensis,Astrangia lajollaensis,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Epiactus,prolifera,Brooding anemone,Bonnie Becker,,,,,Epiactus prolifera,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Brown bryozoan,spp,,,,,,,Brown bryozoan spp,Brown bryozoan spp,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Cauloramphus,spiniferum,,,,,,,Cauloramphus spiniferum,Cauloramphus spiniferum,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Crisia,maxima,,,,,,,Crisia maxima,Crisia maxima,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Eurystomella,bilabiata,,,,,,,Eurystomella bilabiata,Eurystomella bilabiata,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Figularia,hilli,,,,,,,Figularia hilli,Figularia hilli,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Membranipora,fusca,,,,,,,Membranipora fusca,Membranipora fusca,Membranipora spp,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Red bryozoan,spp,,,,,,,Red bryozoan spp,Red bryozoan spp,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Unidentified ectoprocts,spp,,,,,,,Unidentified ectoprocts spp,Unidentified ectoprocts spp,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Codakia,californica,,,,,,,Codakia californica,Codakia californica,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Cumingia,californica,,,,,,,Cumingia californica,Cumingia californica,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Hiatella,arctica,Little Gaper,,,,,,Hiatella arctica,Hiatella arctica,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Platyodon,cancellatus,Checked Borer,,,,,,Platyodon cancellatus,Platyodon cancellatus,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Netastoma,rostrata,Beaked Piddock,,,,,,Netastoma rostrata,Netastoma rostrata,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Penitella,penita,Flap-tipped Piddock,,,,,,Penitella penita,Penitella penita,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Modiolus,capax,Fat Horse Mussel,,,,,,Modiolus capax,Modiolus capax,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Adula,falcata,Rough Pea-Pod Borer,,,,,,Adula falcata,Adula falcata,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Lithophaga,plumula,Date Mussel,,,,,,Lithophaga plumula,Lithophaga plumula,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Septifer,bifurcatus,Platform mussel,Bonnie Becker,,X,,,Septifer bifurcatus,Septifer bifurcatus,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Leptopecten,monotimeris,Broad-Eared Pecten,,,,,,Leptopecten monotimeris,Leptopecten monotimeris,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Ostrea,lurida,"Native Oyster, Olympia Oyster",,,,,,Ostrea lurida,Ostrea lurida,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Hinnites,giganteus,Rock Scallop,,,,,,Hinnites giganteus,Hinnites giganteus,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Trachycardium,quadragenarium,Spiny Cockle,,,,,,Trachycardium quadragenarium,Trachycardium quadragenarium,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Glans,carpenteri,Little Heart Clam,,,,,,Glans carpenteri,Glans carpenteri,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Chama,arcana,,,,,,,Chama arcana,Chama arcana,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Pseudochama,exogyra,Reversed chama,Bonnie Becker,,X,,,Pseudochama exogyra,Pseudochama exogyra,Pseudochama exogyra,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Lasaea,subviridis,,,,,,,Lasaea subviridis,Lasaea subviridis,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Nuttallia,nuttallii,Purple Clam,,,,,,Nuttallia nuttallii,Nuttallia nuttallii,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Semele,decisa,Clipped Semele,,,,,,Semele decisa,Semele decisa,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Semele,rupicola,Semele-of-the-rocks,,,,,,Semele rupicola,Semele rupicola,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Diplodonta,orbella,Round Diplodonta,,,,,,Diplodonta orbella,Diplodonta orbella,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Chione,undatella,Wavy Chione,,,,,,Chione undatella,Chione undatella,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Protothaca,staminea,Common Littleneck Clam,,,,,,Protothaca staminea,Protothaca staminea,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Haliotis,corrugata,Pink Abalone,,,,,,Haliotis corrugata,Haliotis corrugata,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Haliotis,cracherodii,Black Abalone,,,,,,Haliotis cracherodii,Haliotis cracherodii,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Haliotis,fulgens,Green abalone,Bonnie Becker,,,,,Haliotis fulgens,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Haliotis,rufescens,Red Abalone,,,,,,Haliotis rufescens,Haliotis rufescens,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Barbatia,bailyi,Baily's Ark,,,,,,Barbatia bailyi,Barbatia bailyi,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Nuttalina,californica,,SWAT 2002,,X,,,Nuttalina californica,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Nuttalina,fluxa,Troglodyte chiton,Bonnie Becker,,,,,Nuttalina fluxa,Nuttalina fluxa,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Lepidochitona,hartwegii,,SWAT 2002,,X,,,Lepidochitona hartwegii,Lepidochitona hartwegii,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Lepidozona,californiensis,,,,,,,Lepidozona californiensis,Lepidozona californiensis,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Stenoplax,conspicua,Conspicuous Chiton,,,,,,Stenoplax conspicua,Stenoplax conspicua,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Mopalia,muscosa,Mossy Chiton,,,,,,Mopalia muscosa,Mopalia muscosa,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Hymeniacidon,spp,,,,,,,Hymeniacidon spp,Hymeniacidon spp,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Leucosolenia,spp,,,,,,,Leucosolenia spp,Leucosolenia spp,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Mycale,macginitiei,,,,,,,Mycale macginitiei,Mycale macginitiei,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Unid encrusting sponge,spp,,,,,,,Unid encrusting sponge spp,Unid encrusting sponge spp,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Plocamia,karykina,,,,,,,Plocamia karykina,Plocamia karykina,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Xestospongia,vanilla,,,,,,,Xestospongia vanilla,Xestospongia vanilla,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Cliona,celata var californiana,,,,,,,Cliona celata var californiana,Cliona celata var californiana,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Ascidia,paratropa,,,,,,,Ascidia paratropa,Ascidia paratropa,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Cnemidocarpa,finmarkiensus,,,,,,,Cnemidocarpa finmarkiensus,Cnemidocarpa finmarkiensus,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Euherdmania,claviformis,,,,,,,Euherdmania claviformis,Euherdmania claviformis,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
,,,,,,,,NA,NA,Eudistoma psammion,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
,,,,,,,,NA,NA,Haliclona spp,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
,,,,,,,,NA,NA,Pista spp,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
,,,,,,,,NA,NA,Tegula gallina/funebralis,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Mooreonuphis,stigmatis,,Leslie Harris,,,,,Mooreonuphis stigmatis,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,,
Pareurythoe,californica,,Leslie Harris,,,,,Pareurythoe californica,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,,
Notomastus,tenuis,,Leslie Harris,,,,,Notomastus tenuis,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,,
Axiothella,rubrocincta,,Leslie Harris,,,,,Axiothella rubrocincta,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,,
Petaloproctus,neoborealis,,Leslie Harris,,,,,Petaloproctus neoborealis,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,,
Arabella,iricolor,,Leslie Harris,,,,,Arabella iricolor,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,,
Arabella,semimaculata,,Leslie Harris,,,,,Arabella semimaculata,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,,
Drilonereis,spp,,Leslie Harris,,,,,Drilonereis spp,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,,
Flabelliderma,essenbergae,,Leslie Harris,,,,,Flabelliderma essenbergae,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,,
Naineris,dendritica,,Leslie Harris,,,,,Naineris dendritica,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,,
Hemipodus,borealis,,Leslie Harris,,,,,Hemipodus borealis,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,,
Nereis,mediator,,Leslie Harris,,,,,Nereis mediator,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,,
Platynereis,bicanaliculata,,Leslie Harris,,,,,Platynereis bicanaliculata,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,,
Eulalia,spp,,Leslie Harris,,,,,Eulalia spp,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,,
Pterocirrus,spp,,Leslie Harris,,,,,Pterocirrus spp,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,,
Synelmis,spp,,Leslie Harris,,,,,Synelmis spp,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,,
Typosylis,ui,,Leslie Harris,,,,,Typosylis ui,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,,
Serpula,vermicularis,,SWAT 2002,,X,,,Serpula vermicularis,NA,Serpula vermicularis,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,sessile,sessile invertebrates
Macrochaeta,spp,,Leslie Harris,,,,,Macrochaeta spp,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,,
Cirriformia,spirabrancha,,Leslie Harris,,,,,Cirriformia spirabrancha,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,,
Dodecaceria,fewkesi,,Leslie Harris,,,,,Dodecaceria fewkesi,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,,
Poecilochaetidae,ui,,Leslie Harris,,,,,Poecilochaetidae ui,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,,
Polycirrus,spp,,Leslie Harris,,,,,Polycirrus spp,NA,NA,OTHINV,Other invertebrates,OTHANI,Animals,OTHINV,Other invertebrates,,,
,,,,,,,,NA,NA,Blue Green Algae,OTHPLA,Other plants,OTHPLA,Algae/plants,OTHPLA,Other algae/plants,,sessile,algae
,,,,,,,,NA,NA,Diatom,OTHPLALG,Other plants/algae,OTHPLA,Algae/plants,OTHPLA,Other algae/plants,,sessile,algae
Caulacanthus,ustulatus,,SWAT 2002,,X,,,Caulacanthus ustulatus,NA,NA,CAUUST,Caulacanthus ustulatus,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Porphyrella,californica,,,,,,,Porphyrella californica,Porphyrella californica,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Erythrotrichia,spp,,,,,,,Erythrotrichia spp,Erythrotrichia spp,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Smithora,naiadum,,,,,,,Smithora naiadum,Smithora naiadum,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Callithamnion,biseriatum,,,,,,,Callithamnion biseriatum,Callithamnion biseriatum,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Callithamnion,rupicolum,,,,,,,Callithamnion rupicolum,Callithamnion rupicolum,Callithamnion rupicola,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Centroceras,clavulatum,,,,,,,Centroceras clavulatum,Centroceras clavulatum,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Centroceras ceramium,spp,,SWAT 2002,,X,,,Centroceras ceramium spp,NA,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Ceramium,eatonianum,,,,,,,Ceramium eatonianum,Ceramium eatonianum,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Ceramium,spp,,,,,,,Ceramium spp,Ceramium spp,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Griffithsia,pacifica,,,,,,,Griffithsia pacifica,Griffithsia pacifica,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Microcladia,coulteri,,SWAT 2002,,X,,,Microcladia coulteri,NA,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Platysiphonia,parva,,,,,,,Platysiphonia parva,Platysiphonia parva,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Spyridia,filamentosa,,SWAT 2002,,X,X,,Spyridia filamentosa,NA,Spyridia filamentosa,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Tiffaniella,snyderiae,,SWAT 2002,,X,X,,Tiffaniella snyderiae,NA,Tiffaniella snyderiae,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Heterosiphonia,erecta,,,,,,,Heterosiphonia erecta,Heterosiphonia erecta,Heterosiphonia erecta,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Heterosiphonia,japonica,,SWAT 2002,,X,X,,Heterosiphonia japonica,NA,Dasysiphonia japonica,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Pogonophorella,californica,,,,,,,Pogonophorella californica,Pogonophorella californica,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Acrosorium,uncinatum,,SWAT 2002,,X,,,Acrosorium uncinatum,Acrosorium uncinatum,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Anisocladella,pacifica,,SWAT 2002,,X,,,Anisocladella pacifica,Anisocladella pacifica,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Cryptopleura,corallinara,,,,,,,Cryptopleura corallinara,Cryptopleura corallinara,Cryptopleura/Hymenena spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Cryptopleura,crispa,,,,,,,Cryptopleura crispa,Cryptopleura crispa,Cryptopleura/Hymenena spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Cryptopleura,rosacea,,,,,,,Cryptopleura rosacea,Cryptopleura rosacea,Cryptopleura/Hymenena spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Cryptopleura,violacea,,,,,,,Cryptopleura violacea,NA,Cryptopleura/Hymenena spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Cryptopleura hymenena,spp,,SWAT 2002,,X,,,Cryptopleura hymenena spp,NA,Cryptopleura/Hymenena spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Nienburgia,andersoniana,,SWAT 2002,,X,X,,Nienburgia andersoniana,NA,Nienburgia andersoniana,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Chondria,acrorhiza,,SWAT 2002,,X,X,,Chondria acrorhiza,NA,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Chondria,acrorhizophora,,,,,,,Chondria acrorhizophora,Chondria acrorhizophora,Chondria acrorhizophora,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Chondria,arcuata,,,,,,,Chondria arcuata,Chondria arcuata,Chondria arcuata,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Chondria,californica,,SWAT 2002,,X,X,,Chondria californica,NA,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Chondria,nidifica,,SWAT 2002,,X,X,,Chondria nidifica,Chondria nidifica,Chondria nidifica,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Chondria,oppositiclada,,SWAT 2002,,X,X,,Chondria oppositiclada,NA,Chondria oppositiclada,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Chondria,spp,,,,,,,Chondria spp,Chondria spp,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Erythrocystis,saccata,,,,,,,Erythrocystis saccata,Erythrocystis saccata,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Herposiphonia,verticillata,,,,,,,Herposiphonia verticillata,Herposiphonia verticillata,Heterosiphonia spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Janczwewskia,lappacea,,,,,,,Janczwewskia lappacea,Janczwewskia lappacea,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Jantinella,verrucaeformis,,,,,,,Jantinella verrucaeformis,Jantinella verrucaeformis,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Laurencia,pacifica,,Tiffany Luas,,X,X,,Laurencia pacifica,Laurencia pacifica,Laurencia pacifica/masonii,LAUSPP,Laurencia,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Laurencia,sinicola,,SWAT 2002,,X,,,Laurencia sinicola,Laurencia sinicola,Osmundea sinicola,OSMSPP,Osmundea species,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Laurencia,spectabilis var diegoensis,,Tiffany Luas,,,X,,Laurencia spectabilis var diegoensis,Laurencia spectabilis var diegoensis,Ceramiales,LAUSPP,Laurencia,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Laurencia,splendens,,,,,,,Laurencia splendens,Laurencia splendens,Osmundea splendens,OSMSPP,Osmundea species,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Laurencia,subopposita,,Tiffany Luas,,,X,,Laurencia subopposita,Laurencia subopposita,Ceramiales,LAUSPP,Laurencia,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Levringiella,gardneri,,,,,,,Levringiella gardneri,Levringiella gardneri,Ceramiales,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Osmundea,spectabilis,,SWAT 2002,,X,,,Osmundea spectabilis,NA,Osmundea spectabilis,OSMSPP,Osmundea species,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Polysiphonia,savatieri,,,,,,,Polysiphonia savatieri,Polysiphonia savatieri,Polysiphonia spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Polysiphonia,scopulorum var villum,,,,,,,Polysiphonia scopulorum var villum,Polysiphonia scopulorum var villum,Polysiphonia spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Polysiphonia,spp,,SWAT 2002,,X,,,Polysiphonia spp,NA,Polysiphonia spp,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Pterosiphonia,baileyi,,SWAT 2002,,X,,,Pterosiphonia baileyi,Pterosiphonia baileyi,Pterosiphonia baileyi,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Pterosiphonia,bipinnata,,SWAT 2002,,X,,,Pterosiphonia bipinnata,NA,Pterosiphonia bipinnata,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Pterosiphonia,dendroidea,,SWAT 2002,,X,,,Pterosiphonia dendroidea,Pterosiphonia dendroidea,Pterosiphonia dendroidea/pennata,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Amphiroa,zonata,,SWAT 2002,,X,X,,Amphiroa zonata,NA,Amphiroa beauvoisii,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Fosliella,paschalis,,,,,,,Fosliella paschalis,Fosliella paschalis,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Jania,crassa,,SWAT 2002,,X,X,,Jania crassa,Jania crassa,Jania verrucosa,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Lithothamnion,spp,,,,,,,Lithothamnion spp,Lithothamnion spp,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Lithothrix,aspergillum,,SWAT 2002,,X,,,Lithothrix aspergillum,Lithothrix aspergillum,Lithothrix aspergillum,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Melobesia,mediocris,,,,,,,Melobesia mediocris,Melobesia mediocris,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Mesophyllum,conchatum,,,,,,,Mesophyllum conchatum,Mesophyllum conchatum,NA,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
Prionitis,angusta,,SWAT 2002,,X,X,,Prionitis angusta,NA,Prionitis angusta,OTHRED,Other red algae,OTHPLA,Algae/plants,OTHRED,Other red algae,,sessile,algae
