Genus,Species,Common Name(s),Identified by,Oxy Fish Inventory?,SWAT Comprehensives?,Vouchered?,CABR LT,full,Zedler,ucsc,species_code,scientific_name,code_1990,name_1990,code_2000,name_2000,,mobility,type
Mazzaella,leptorhynchos,,,,,,,Mazzaella leptorhynchos,Mazzaella leptorhynchos,Mazzaella leptorhynchos,MAZSPP,Mazzaella spp,OTHPLA,Algae/plants,MAZSPP,Mazzaella spp,,sessile,algae
Mexicanthina,lugubris,Unicorn,Bonnie Becker,,,,,Mexicanthina lugubris,Mexicanthina lugubris,Mexacanthina lugubris,MEXLUG,Mexacanthina lugubris,OTHANI,Animals,MEXLUG,Mexacanthina lugubris,,mobile,mobile invertebrates
Mytilus,californianus,"California mussel, sea mussel",Bonnie Becker,,X,,,Mytilus californianus,Mytilus californianus,Mytilus californianus,MYTCAL,Mytilus californianus,MYTCAL,Mytilus,MYTCAL,Mytilus californianus,,sessile,sessile invertebrates
Atherinops,affinis,topsmelt,Matt Craig,X,,,,Atherinops affinis,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Atherinopsis,californiensis,jacksmelt,Matt Craig,X,,X,,Atherinopsis californiensis,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Leuresthes,tenuis,California grunion,Matt Craig,X,,X,,Leuresthes tenuis,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Porichthys,myriaster,specklefin midshipman,Matt Craig,X,,,,Porichthys myriaster,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Gobiesox,rhessodon,California clingfish,Matt Craig,X,,X,,Gobiesox rhessodon,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Rimicola,eigenmanni,slender clingfish,Matt Craig,X,,X,,Rimicola eigenmanni,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Hypsoblennius,gilberti,rockpool blenny,Matt Craig,X,,X,,Hypsoblennius gilberti,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Hypsoblennius,jenkinsi,mussel blenny,Matt Craig,X,,X,,Hypsoblennius jenkinsi,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Trachurus,symmetricus,jack mackerel,Matt Craig,X,,X,,Trachurus symmetricus,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Gibbonsia,elegans,spotted kelpfish,Matt Craig,X,,X,,Gibbonsia elegans,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Gibbonsia,metzi,striped kelpfish,Matt Craig,X,,X,,Gibbonsia metzi,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Heterostichus,rostratus,giant kelpfish,Matt Craig,X,,X,,Heterostichus rostratus,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Brachyistius,frenatus,kelp perch,Matt Craig,X,,,,Brachyistius frenatus,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Embiotoca,jacksoni,black perch,Matt Craig,X,,X,,Embiotoca jacksoni,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Hyperprosopon,argenteum,walleye surfperch,Matt Craig,X,,X,,Hyperprosopon argenteum,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Hypsurus,caryi,rainbow seaperch,Matt Craig,X,,,,Hypsurus caryi,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Micrometrus,minimus,dwarf surfperch,Matt Craig,X,,,,Micrometrus minimus,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Phanerodon,furcatus,white seaperch,Matt Craig,X,,,,Phanerodon furcatus,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Rhacochilus,toxotes,rubberlib seaperch,Matt Craig,X,,,,Rhacochilus toxotes,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Rhacochilus,vacca,pile perch,Matt Craig,X,,,,Rhacochilus vacca,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Gobiidae,sp,,Matt Craig,X,,,,Gobiidae sp,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Typhlogobius,californiensis,blind goby,Matt Craig,X,,X,,Typhlogobius californiensis,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
Anisotremus,davidsoni,sargo,Matt Craig,X,,X,,Anisotremus davidsoni,NA,NA,NA,NA,NA,NA,NA,NA,,mobile,
