Zedler,CBS,LTM current,LTM 1990,type
Leucosolenia spp,NA,Other invertebrates,Animals,sessile invertebrates
Levringiella gardneri,Ceramiales,Other red algae,Algae/plants,algae
Ligia occidentalis,NA,Other invertebrates,Animals,mobile invertebrates
Lithophaga plumula,NA,Other invertebrates,Animals,sessile invertebrates
Lithopoma undosa,NA,Other invertebrates,Animals,mobile invertebrates
Lithothamnion spp,NA,Other red algae,Algae/plants,algae
Lithothrix aspergillum,Lithothrix aspergillum,Other red algae,Algae/plants,algae
Littorina keenae,Littorina spp.,Other invertebrates,Animals,mobile invertebrates
Littorina scutulata,Littorina spp.,Other invertebrates,Animals,mobile invertebrates
Lottia asmi,NA,Limpet,Animals,sessile invertebrates
Lottia conus,Lottia scabra/conus,Limpet,Animals,sessile invertebrates
Lottia digitalis,Lottia austrodigitalis/digitalis,Limpet,Animals,sessile invertebrates
Lottia gigantea,Lottia gigantea,Lottia gigantea,Animals,sessile invertebrates
Lottia limatula,Lottia limatula,Limpet,Animals,sessile invertebrates
Lottia pelta,NA,Limpet,Animals,sessile invertebrates
Lottia strigatella,NA,Limpet,Animals,sessile invertebrates
Loxorhynchus crispatus,NA,Other invertebrates,Animals,mobile invertebrates
Lumbrineris spp,NA,Other invertebrates,Animals,mobile invertebrates
Lysmata californica,NA,Other invertebrates,Animals,mobile invertebrates
Lytechinus anamesus,NA,Other invertebrates,Animals,mobile invertebrates
Macklintockia scabra,NA,Limpet,Animals,sessile invertebrates
Macrocystis integrifolia,NA,Other brown algae,Algae/plants,algae
Macrocystis pyrifera,Macrocystis pyrifera,Other brown algae,Algae/plants,algae
Macron lividus,Macron lividus,Other invertebrates,Animals,mobile invertebrates
Mazzaella affinus,Mazzaella affinis,Mazzaella affinis,Algae/plants,algae
Mazzaella leptorhynchos,Mazzaella leptorhynchos,Mazzaella spp,Algae/plants,algae
Megathura crenulata,Megathura crenulata,Limpet,Animals,sessile invertebrates
Melobesia mediocris,NA,Other red algae,Algae/plants,algae
Membranipora fusca,Membranipora spp,Other invertebrates,Animals,sessile invertebrates
Mesophyllum conchatum,NA,Other red algae,Algae/plants,algae
Mexicanthina lugubris,Mexacanthina lugubris,Mexacanthina lugubris,Animals,mobile invertebrates
Mitra idae,NA,Other invertebrates,Animals,mobile invertebrates
Mitrella carinata,NA,Other invertebrates,Animals,mobile invertebrates
Modiolus capax,NA,Other invertebrates,Animals,sessile invertebrates
Mopalia muscosa,NA,Other invertebrates,Animals,sessile invertebrates
Mycale macginitiei,NA,Other invertebrates,Animals,sessile invertebrates
Mytilus californianus,Mytilus californianus,Mytilus californianus,Mytilus,sessile invertebrates
NA,Acrosorium ciliolatum,Other red algae,Algae/plants,algae
NA,Ahnfeltia fastigiata,Other red algae,Algae/plants,algae
NA,Ahnfeltiopsis leptophylla,Other red algae,Algae/plants,algae
NA,Amphiroa beauvoisii,Other red algae,Algae/plants,algae
NA,Anthopleura sola,Anthopleura elegantissima/sola,Animals,sessile invertebrates
NA,Bangia spp,Other red algae,Algae/plants,algae
NA,Blue Green Algae,Other plants,Algae/plants,algae
NA,Calliarthron spp,Crustose corallines,Algae/plants,algae
NA,Caulacanthus okamurae,Other red algae,Algae/plants,algae
NA,Chondracanthus spinosus,Chondracanthus spinosa,Algae/plants,algae
NA,Chondria dasyphylla,Other red algae,Algae/plants,algae
NA,Chondria oppositiclada,Other red algae,Algae/plants,algae
NA,Cladophora graminea,Other green algae,Algae/plants,algae
NA,Cryptonemia spp,Other red algae,Algae/plants,algae
NA,Dasya binghamiae,Other red algae,Algae/plants,algae
NA,Dasysiphonia japonica,Other red algae,Algae/plants,algae
NA,Diatom,Other plants/algae,Algae/plants,algae
NA,Dictyota coriacea,Other brown algae,Algae/plants,algae
NA,Encrusting coralline,Crustose corallines,Algae/plants,algae
NA,Erythroglossum californicum,Other red algae,Algae/plants,algae
NA,Eudistoma psammion,Other invertebrates,Animals,sessile invertebrates
NA,Farlowia/Pikea spp,Other red algae,Algae/plants,algae
NA,Fucus spp,Fucus gardneri,Algae/plants,algae
NA,Gastroclonium parvum,Gastroclonium species,Algae/plants,algae
NA,Gelidium purpurascens,Gelidium species,Algae/plants,algae
NA,Haliclona spp,Other invertebrates,Animals,sessile invertebrates
NA,Hapterophycus canaliculatus,Other brown algae,Algae/plants,algae
NA,Herposiphonia littoralis,Other red algae,Algae/plants,algae
NA,Hypnea variabilis,Other red algae,Algae/plants,algae
NA,Lithopoma gibberosum,Other invertebrates,Animals,mobile invertebrates
NA,Lomentaria hakodatensis,Other red algae,Algae/plants,algae
NA,Mastocarpus spp,Mastocarpus papillatus,Algae/plants,algae
NA,Nemalion elminthoides,Other red algae,Algae/plants,algae
NA,Nienburgia andersoniana,Other red algae,Algae/plants,algae
NA,Nuttallina spp,Chiton,Animals,sessile invertebrates
NA,Osmundea spectabilis,Osmundea species,Algae/plants,algae
NA,Pelvetiopsis arborescens/hybrida/limitata,Pelvetiopsis limitata,Algae/plants,algae
NA,Pelvetiopsis californica,Hesperophycus californica,Algae/plants,algae
